date,sent,buzz
2020-07-16 00:00:00+00:00,0.0,0.0
2020-07-17 00:00:00+00:00,0.44,2.0
2020-07-18 00:00:00+00:00,0.0,0.0
2020-07-19 00:00:00+00:00,0.0,0.0
2020-07-20 00:00:00+00:00,0.0,0.0
2020-07-21 00:00:00+00:00,1.695,2.0
2020-07-22 00:00:00+00:00,2.1851,1.0
2020-07-23 00:00:00+00:00,0.9342,3.0
2020-07-24 00:00:00+00:00,0.0,0.0
2020-07-25 00:00:00+00:00,0.207,1.0
2020-07-26 00:00:00+00:00,0.0,0.0
2020-07-27 00:00:00+00:00,0.0,0.0
2020-07-28 00:00:00+00:00,0.2943,3.0
2020-07-29 00:00:00+00:00,0.5306,5.0
2020-07-30 00:00:00+00:00,1.0938,3.0
2020-07-31 00:00:00+00:00,0.0,0.0
2020-08-01 00:00:00+00:00,0.0,0.0
2020-08-02 00:00:00+00:00,0.0,0.0
2020-08-03 00:00:00+00:00,0.0,0.0
2020-08-04 00:00:00+00:00,0.209,2.0
2020-08-05 00:00:00+00:00,1.2989,3.0
2020-08-06 00:00:00+00:00,0.6119,3.0
2020-08-07 00:00:00+00:00,3.1904,2.0
2020-08-08 00:00:00+00:00,2.0595,1.0
2020-08-09 00:00:00+00:00,0.0,0.0
2020-08-10 00:00:00+00:00,0.0,0.0
2020-08-11 00:00:00+00:00,0.0,0.0
2020-08-12 00:00:00+00:00,-0.0997,2.0
2020-08-13 00:00:00+00:00,0.0,0.0
2020-08-14 00:00:00+00:00,0.0,0.0
2020-08-15 00:00:00+00:00,0.0,0.0
2020-08-16 00:00:00+00:00,0.5963,2.0
2020-08-17 00:00:00+00:00,0.9383,3.0
2020-08-18 00:00:00+00:00,0.3663,4.0
2020-08-19 00:00:00+00:00,0.6742,1.0
2020-08-20 00:00:00+00:00,0.5959,1.0
2020-08-21 00:00:00+00:00,0.0,0.0
2020-08-22 00:00:00+00:00,0.0,0.0
2020-08-23 00:00:00+00:00,0.0,0.0
2020-08-24 00:00:00+00:00,1.2767,2.0
2020-08-25 00:00:00+00:00,-0.0637,7.0
2020-08-26 00:00:00+00:00,4.8316,1.0
2020-08-27 00:00:00+00:00,1.6717,2.0
2020-08-28 00:00:00+00:00,1.6636,1.0
2020-08-29 00:00:00+00:00,0.0,0.0
2020-08-30 00:00:00+00:00,0.0,0.0
2020-08-31 00:00:00+00:00,0.0,0.0
2020-09-01 00:00:00+00:00,0.0,0.0
2020-09-02 00:00:00+00:00,0.0,0.0
2020-09-03 00:00:00+00:00,0.0,0.0
2020-09-04 00:00:00+00:00,0.0,0.0
2020-09-05 00:00:00+00:00,0.0,0.0
2020-09-06 00:00:00+00:00,0.0,0.0
2020-09-07 00:00:00+00:00,0.0,0.0
2020-09-08 00:00:00+00:00,0.0,0.0
2020-09-09 00:00:00+00:00,1.0178,3.0
2020-09-10 00:00:00+00:00,0.0,0.0
2020-09-11 00:00:00+00:00,-0.3563,3.0
2020-09-12 00:00:00+00:00,0.0,0.0
2020-09-13 00:00:00+00:00,0.0,0.0
2020-09-14 00:00:00+00:00,0.0,0.0
2020-09-15 00:00:00+00:00,0.0,0.0
2020-09-16 00:00:00+00:00,0.0,0.0
2020-09-17 00:00:00+00:00,0.6543,4.0
2020-09-18 00:00:00+00:00,0.6749,1.0
2020-09-19 00:00:00+00:00,0.0,0.0
2020-09-20 00:00:00+00:00,0.0,0.0
2020-09-21 00:00:00+00:00,1.5444,1.0
2020-09-22 00:00:00+00:00,1.3632,5.0
2020-09-23 00:00:00+00:00,1.3372,5.0
2020-09-24 00:00:00+00:00,0.0,0.0
2020-09-25 00:00:00+00:00,2.4977,1.0
2020-09-26 00:00:00+00:00,1.4265,1.0
2020-09-27 00:00:00+00:00,0.0,0.0
2020-09-28 00:00:00+00:00,0.0,0.0
2020-09-29 00:00:00+00:00,0.9404,1.0
2020-09-30 00:00:00+00:00,0.9957,2.0
2020-10-01 00:00:00+00:00,0.7519,4.0
2020-10-02 00:00:00+00:00,0.0,0.0
2020-10-03 00:00:00+00:00,0.0,0.0
2020-10-04 00:00:00+00:00,0.0,0.0
2020-10-05 00:00:00+00:00,1.1539,5.0
